"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2026","AQS","360010012","1","0.04","ppm","37","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/02/2026","AQS","360010012","1","0.033","ppm","31","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/03/2026","AQS","360010012","1","0.038","ppm","35","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/04/2026","AQS","360010012","1","0.034","ppm","31","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/05/2026","AQS","360010012","1","0.023","ppm","21","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/06/2026","AQS","360010012","1","0.013","ppm","12","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/07/2026","AQS","360010012","1","0.024","ppm","22","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/08/2026","AQS","360010012","1","0.023","ppm","21","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/09/2026","AQS","360010012","1","0.022","ppm","20","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/10/2026","AQS","360010012","1","0.021","ppm","19","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/11/2026","AQS","360010012","1","0.034","ppm","31","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/12/2026","AQS","360010012","1","0.033","ppm","31","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/13/2026","AQS","360010012","1","0.026","ppm","24","LOUDONVILLE","17","100.0000","44201","Ozone","087","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
